change_number,revision_number,rbe_gcp_started,rbe_gcp_state,rbe_gcp_time_seconds,rbe_gcp_time_minutes,rbe_bb_started,rbe_bb_state,rbe_bb_time_seconds,rbe_bb_time_minutes
403717,1,2024-01-19 08:15:25.000000000,SUCCESSFUL,455.0,7.58,2024-01-19 08:15:36.000000000,SUCCESSFUL,183.0,3.05
403718,1,2024-01-19 08:15:25.000000000,SUCCESSFUL,407.0,6.78,2024-01-19 08:15:35.000000000,SUCCESSFUL,177.0,2.95
403697,1,2024-01-19 08:10:21.000000000,SUCCESSFUL,431.0,7.18,2024-01-19 08:10:25.000000000,SUCCESSFUL,136.0,2.27
399657,2,2023-12-28 22:00:26.000000000,SUCCESSFUL,723.0,12.05,2023-12-28 19:19:59.000000000,SUCCESSFUL,1055.0,17.58
399657,3,2023-12-29 02:25:26.000000000,SUCCESSFUL,473.0,7.88,2023-12-29 02:25:27.000000000,SUCCESSFUL,300.0,5.0
399657,4,2024-01-02 03:40:26.000000000,SUCCESSFUL,987.0,16.45,2024-01-02 03:40:23.000000000,SUCCESSFUL,405.0,6.75
399657,5,2024-01-02 07:30:24.000000000,SUCCESSFUL,458.0,7.63,2024-01-02 07:30:25.000000000,SUCCESSFUL,133.0,2.22
399657,6,2024-01-02 08:55:24.000000000,SUCCESSFUL,411.0,6.85,2024-01-02 08:55:21.000000000,SUCCESSFUL,138.0,2.3
399657,8,2024-01-02 09:00:24.000000000,SUCCESSFUL,416.0,6.93,2024-01-02 09:00:26.000000000,SUCCESSFUL,137.0,2.28
399657,9,2024-01-04 09:30:18.000000000,SUCCESSFUL,808.0,13.47,2024-01-04 19:00:38.000000000,SUCCESSFUL,506.0,8.43
399657,10,2024-01-05 01:40:29.000000000,SUCCESSFUL,940.0,15.67,2024-01-05 01:40:27.000000000,SUCCESSFUL,177.0,2.95
399657,11,2024-01-05 02:25:28.000000000,SUCCESSFUL,822.0,13.7,2024-01-05 02:25:28.000000000,SUCCESSFUL,77613.0,1293.55
399657,12,2024-01-05 07:30:28.000000000,SUCCESSFUL,442.0,7.37,2024-01-05 07:30:27.000000000,RUNNING,,
399657,13,2024-01-05 10:45:29.000000000,SUCCESSFUL,830.0,13.83,2024-01-05 10:45:29.000000000,RUNNING,,
399657,14,2024-01-05 10:55:29.000000000,SUCCESSFUL,1287.0,21.45,2024-01-05 21:41:32.000000000,SUCCESSFUL,8248.0,137.47
399657,15,2024-01-10 03:20:28.000000000,SUCCESSFUL,778.0,12.97,2024-01-10 03:20:24.000000000,SUCCESSFUL,408.0,6.8
399657,16,2024-01-10 03:55:28.000000000,SUCCESSFUL,909.0,15.15,2024-01-10 03:55:29.000000000,SUCCESSFUL,440.0,7.33
399657,17,2024-01-10 07:05:26.000000000,SUCCESSFUL,779.0,12.98,2024-01-10 07:05:26.000000000,SUCCESSFUL,508.0,8.47
399657,18,2024-01-17 01:55:23.000000000,SUCCESSFUL,992.0,16.53,2024-01-17 01:55:46.000000000,SUCCESSFUL,449.0,7.48
399657,19,2024-01-17 02:30:18.000000000,SUCCESSFUL,767.0,12.78,2024-01-17 02:15:39.000000000,SUCCESSFUL,420.0,7.0
399657,21,2024-01-17 02:55:22.000000000,SUCCESSFUL,524.0,8.73,2024-01-17 02:55:34.000000000,SUCCESSFUL,153.0,2.55
399657,22,2024-01-18 02:20:21.000000000,SUCCESSFUL,860.0,14.33,2024-01-18 02:20:30.000000000,SUCCESSFUL,680.0,11.33
399657,23,2024-01-18 08:50:23.000000000,FAILED,600.0,10.0,2024-01-18 08:50:28.000000000,FAILED,107.0,1.78
399657,24,2024-01-18 09:20:24.000000000,SUCCESSFUL,957.0,15.95,2024-01-18 09:20:26.000000000,SUCCESSFUL,502.0,8.37
399657,25,2024-01-18 09:30:21.000000000,SUCCESSFUL,1150.0,19.17,2024-01-18 09:30:26.000000000,SUCCESSFUL,394.0,6.57
399657,26,2024-01-18 10:30:22.000000000,SUCCESSFUL,1099.0,18.32,2024-01-18 10:30:26.000000000,SUCCESSFUL,407.0,6.78
399657,27,2024-01-19 02:50:24.000000000,SUCCESSFUL,886.0,14.77,2024-01-19 02:50:24.000000000,SUCCESSFUL,679.0,11.32
399657,28,2024-01-19 02:55:21.000000000,SUCCESSFUL,588.0,9.8,2024-01-19 02:55:29.000000000,SUCCESSFUL,375.0,6.25
399657,29,2024-01-19 03:35:24.000000000,SUCCESSFUL,1060.0,17.67,2024-01-19 03:35:29.000000000,SUCCESSFUL,514.0,8.57
401777,1,2024-01-10 02:00:26.000000000,SUCCESSFUL,898.0,14.97,2024-01-10 02:00:25.000000000,SUCCESSFUL,444.0,7.4
401777,2,2024-01-10 02:10:27.000000000,SUCCESSFUL,521.0,8.68,2024-01-10 02:10:29.000000000,SUCCESSFUL,455.0,7.58
401777,4,2024-01-10 03:36:10.000000000,FAILED,759.0,12.65,2024-01-10 02:40:23.000000000,FAILED,215.0,3.58
401777,5,2024-01-10 08:26:51.000000000,FAILED,735.0,12.25,2024-01-10 07:35:21.000000000,FAILED,243.0,4.05
401777,6,2024-01-16 09:22:40.000000000,FAILED,397.0,6.62,2024-01-16 08:55:34.000000000,FAILED,196.0,3.27
401777,7,2024-01-16 09:29:04.000000000,FAILED,578.0,9.63,2024-01-16 09:05:31.000000000,FAILED,198.0,3.3
401777,8,2024-01-17 02:25:40.000000000,FAILED,719.0,11.98,2024-01-17 01:50:44.000000000,FAILED,190.0,3.17
401777,9,2024-01-17 02:37:16.000000000,FAILED,880.0,14.67,2024-01-17 02:05:32.000000000,FAILED,188.0,3.13
401777,10,2024-01-18 02:32:44.000000000,FAILED,594.0,9.9,2024-01-18 02:05:29.000000000,FAILED,195.0,3.25
401777,11,2024-01-19 03:27:05.000000000,FAILED,516.0,8.6,2024-01-19 03:05:29.000000000,FAILED,158.0,2.63
375374,28,2023-12-28 08:35:27.000000000,FAILED,545.0,9.08,2023-12-28 19:20:02.000000000,FAILED,378.0,6.3
375374,29,2024-01-03 21:25:46.000000000,FAILED,512.0,8.53,2024-01-03 21:48:44.000000000,FAILED,1197.0,19.95
375374,30,2024-01-03 21:15:28.000000000,FAILED,552.0,9.2,2024-01-03 21:59:19.000000000,FAILED,386.0,6.43
375374,31,2024-01-03 22:13:37.000000000,FAILED,486.0,8.1,2024-01-03 22:05:56.000000000,FAILED,460.0,7.67
375374,32,2024-01-04 23:35:32.000000000,SUCCESSFUL,1069.0,17.82,2024-01-04 23:35:24.000000000,SUCCESSFUL,584.0,9.73
375374,34,2024-01-19 01:15:21.000000000,FAILED,441.0,7.35,2024-01-19 00:50:23.000000000,FAILED,138.0,2.3
375374,35,2024-01-19 01:56:12.000000000,FAILED,572.0,9.53,2024-01-19 01:30:24.000000000,FAILED,149.0,2.48
375374,36,2024-01-19 03:20:24.000000000,SUCCESSFUL,393.0,6.55,2024-01-19 03:20:30.000000000,SUCCESSFUL,287.0,4.78
403544,1,2024-01-18 17:10:26.000000000,SUCCESSFUL,1020.0,17.0,2024-01-18 17:10:28.000000000,SUCCESSFUL,620.0,10.33
403545,1,2024-01-18 17:10:25.000000000,SUCCESSFUL,761.0,12.68,2024-01-18 17:10:29.000000000,SUCCESSFUL,664.0,11.07
403542,1,2024-01-18 15:01:56.000000000,FAILED,680.0,11.33,2024-01-18 14:20:27.000000000,FAILED,539.0,8.98
403519,1,2024-01-18 13:24:19.000000000,FAILED,1550.0,25.83,2024-01-18 12:20:27.000000000,FAILED,713.0,11.88
403537,1,2024-01-18 11:20:24.000000000,SUCCESSFUL,1072.0,17.87,2024-01-18 11:20:26.000000000,SUCCESSFUL,436.0,7.27
